Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
68,456.925,456.925000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
69,456.962,456.962500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
70,456.987,456.987500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
71,460.187,460.187500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
72,461.425,461.425000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
73,461.512,461.512500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
74,461.837,461.837500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
75,461.887,461.887500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
76,461.962,461.962500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
77,462.062,462.062500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
78,462.187,462.187500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
79,462.362,462.362500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
80,462.425,462.425000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
81,462.462,462.462500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
82,462.475,462.475000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
83,462.487,462.487500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
84,FRS 1,462.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
85,FRS 2,462.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
86,FRS 3,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
87,FRS 4,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
88,FRS 5,462.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
89,FRS 6,462.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
90,FRS 7,462.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
91,FRS 8,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
92,FRS 9,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
93,FRS 10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
94,FRS 11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
95,FRS 12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
96,FRS 13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
97,FRS 14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
98,FRS 15,462.550000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
99,FRS 16,462.575000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
